x,y,presence
153,297,1
159,297,0
165,297,0
171,297,0
177,297,1
183,297,1
189,297,1
195,297,1
201,297,0
207,297,0
213,297,0
219,297,1
225,297,0
231,297,1
237,297,1
243,297,0
249,297,0
255,297,0
261,297,0
267,297,1
273,297,1
279,297,0
285,297,1
291,297,0
297,297,1
153,291,0
159,291,1
165,291,0
171,291,1
177,291,1
183,291,1
189,291,0
195,291,0
201,291,0
207,291,1
213,291,1
219,291,0
225,291,0
231,291,0
237,291,1
243,291,1
249,291,0
255,291,1
261,291,1
267,291,1
273,291,0
279,291,1
285,291,0
291,291,0
297,291,0
153,285,0
159,285,0
165,285,1
171,285,1
177,285,0
183,285,1
189,285,1
195,285,1
201,285,0
207,285,0
213,285,1
219,285,0
225,285,0
231,285,0
237,285,1
243,285,0
249,285,0
255,285,0
261,285,1
267,285,0
273,285,1
279,285,1
285,285,0
291,285,1
297,285,0
153,279,0
159,279,0
165,279,0
171,279,0
177,279,1
183,279,1
189,279,0
195,279,0
201,279,0
207,279,0
213,279,0
219,279,0
225,279,0
231,279,1
237,279,0
243,279,0
249,279,0
255,279,1
261,279,0
267,279,1
273,279,0
279,279,0
285,279,1
291,279,0
297,279,1
153,273,1
159,273,0
165,273,0
171,273,0
177,273,0
183,273,0
189,273,1
195,273,0
201,273,1
207,273,0
213,273,1
219,273,0
225,273,0
231,273,0
237,273,0
243,273,0
249,273,1
255,273,0
261,273,0
267,273,0
273,273,0
279,273,0
285,273,0
291,273,0
297,273,1
153,267,1
159,267,0
165,267,0
171,267,0
177,267,1
183,267,0
189,267,0
195,267,0
201,267,0
207,267,0
213,267,1
219,267,0
225,267,1
231,267,0
237,267,1
243,267,0
249,267,0
255,267,1
261,267,0
267,267,0
273,267,0
279,267,1
285,267,0
291,267,0
297,267,0
153,261,0
159,261,0
165,261,0
171,261,0
177,261,0
183,261,0
189,261,0
195,261,0
201,261,0
207,261,0
213,261,0
219,261,0
225,261,1
231,261,1
237,261,0
243,261,0
249,261,0
255,261,0
261,261,0
267,261,0
273,261,0
279,261,1
285,261,1
291,261,1
297,261,0
153,255,0
