x,y,presence
153,117,1
159,117,1
165,117,1
171,117,0
177,117,1
183,117,0
189,117,0
195,117,0
201,117,1
207,117,0
213,117,0
219,117,1
225,117,0
231,117,0
237,117,0
243,117,0
249,117,0
255,117,0
261,117,0
267,117,0
273,117,0
279,117,0
285,117,0
291,117,0
297,117,0
153,111,0
159,111,0
165,111,0
171,111,1
177,111,0
183,111,0
189,111,0
195,111,1
201,111,0
207,111,0
213,111,1
219,111,0
225,111,0
231,111,1
237,111,0
243,111,0
249,111,0
255,111,0
261,111,0
267,111,0
273,111,0
279,111,0
285,111,1
291,111,0
297,111,0
153,105,0
159,105,0
165,105,0
171,105,0
177,105,0
183,105,0
189,105,0
195,105,1
201,105,0
207,105,0
213,105,0
219,105,0
225,105,0
231,105,0
237,105,0
243,105,0
249,105,0
255,105,0
261,105,0
267,105,0
273,105,0
279,105,0
285,105,0
291,105,0
297,105,0
153,99,0
159,99,0
165,99,0
171,99,0
177,99,0
183,99,0
189,99,0
195,99,0
201,99,0
207,99,0
213,99,0
219,99,0
225,99,0
231,99,0
237,99,0
243,99,0
249,99,0
255,99,0
261,99,0
267,99,0
273,99,0
279,99,0
285,99,0
291,99,0
297,99,0
153,93,0
159,93,0
165,93,1
171,93,0
177,93,0
183,93,0
189,93,0
195,93,0
201,93,0
207,93,0
213,93,0
219,93,0
225,93,0
231,93,0
237,93,0
243,93,0
249,93,0
255,93,0
261,93,0
267,93,0
273,93,0
279,93,0
285,93,0
291,93,1
297,93,1
153,87,0
159,87,0
165,87,0
171,87,0
177,87,0
183,87,0
189,87,0
195,87,0
201,87,0
207,87,0
213,87,0
219,87,0
225,87,0
231,87,0
237,87,0
243,87,0
249,87,0
255,87,0
261,87,0
267,87,0
273,87,0
279,87,0
285,87,0
291,87,0
297,87,0
153,81,0
159,81,0
165,81,0
171,81,0
177,81,0
183,81,0
189,81,1
195,81,0
201,81,0
207,81,0
213,81,0
219,81,0
225,81,0
231,81,1
237,81,0
243,81,0
249,81,0
255,81,0
261,81,0
267,81,0
273,81,0
279,81,0
285,81,0
291,81,0
297,81,0
153,75,0
159,75,0
165,75,0
171,75,0
177,75,0
183,75,0
189,75,0
195,75,0
201,75,0
207,75,0
213,75,0
219,75,0
225,75,0
231,75,0
237,75,0
243,75,0
249,75,0
255,75,0
261,75,0
267,75,1
273,75,0
279,75,0
285,75,0
291,75,0
297,75,0
153,69,0
159,69,0
165,69,0
171,69,0
177,69,0
183,69,1
189,69,1
195,69,0
201,69,0
207,69,0
213,69,1
219,69,0
225,69,0
231,69,0
237,69,0
243,69,0
249,69,1
255,69,0
261,69,1
267,69,0
273,69,0
279,69,0
285,69,0
291,69,0
297,69,0
153,63,0
159,63,0
165,63,0
171,63,0
177,63,0
183,63,0
189,63,0
195,63,1
201,63,0
207,63,1
213,63,0
219,63,0
225,63,0
231,63,0
237,63,1
243,63,0
249,63,0
255,63,0
261,63,0
267,63,0
273,63,0
279,63,0
285,63,0
291,63,0
297,63,0
153,57,0
159,57,0
165,57,0
171,57,0
177,57,0
183,57,0
189,57,0
195,57,0
201,57,1
207,57,0
213,57,1
219,57,0
225,57,0
231,57,0
237,57,0
243,57,1
249,57,0
255,57,0
261,57,0
267,57,0
273,57,0
279,57,0
285,57,0
291,57,0
297,57,0
153,51,0
159,51,0
165,51,0
171,51,0
177,51,0
183,51,0
189,51,0
195,51,0
201,51,0
207,51,0
213,51,0
219,51,0
225,51,0
231,51,1
237,51,0
243,51,0
249,51,0
255,51,0
261,51,0
267,51,0
273,51,0
279,51,0
285,51,1
291,51,0
297,51,0
153,45,0
159,45,0
165,45,0
171,45,0
177,45,0
183,45,0
189,45,0
195,45,0
201,45,0
207,45,0
213,45,0
219,45,1
225,45,0
231,45,0
237,45,0
243,45,0
249,45,0
255,45,0
261,45,0
267,45,0
273,45,0
279,45,0
285,45,0
291,45,0
297,45,0
153,39,0
159,39,0
165,39,0
171,39,0
177,39,0
183,39,0
189,39,0
195,39,0
201,39,0
207,39,0
213,39,0
219,39,1
225,39,0
231,39,0
237,39,0
243,39,0
249,39,0
255,39,0
261,39,0
267,39,0
273,39,0
279,39,0
285,39,0
291,39,0
297,39,0
153,33,0
159,33,0
165,33,0
171,33,0
177,33,0
183,33,0
189,33,0
195,33,1
201,33,0
207,33,1
213,33,0
219,33,0
225,33,0
231,33,1
237,33,0
243,33,0
249,33,0
255,33,0
261,33,0
267,33,0
273,33,0
279,33,0
285,33,0
291,33,0
297,33,0
153,27,0
159,27,0
165,27,0
171,27,0
177,27,0
183,27,1
189,27,0
195,27,0
201,27,0
207,27,1
213,27,0
219,27,1
225,27,1
231,27,0
237,27,0
243,27,0
249,27,0
255,27,0
261,27,0
267,27,0
273,27,0
279,27,0
285,27,0
291,27,0
297,27,0
153,21,0
159,21,0
165,21,0
171,21,0
177,21,0
183,21,0
189,21,0
195,21,0
201,21,0
207,21,0
213,21,0
219,21,0
225,21,0
231,21,0
237,21,0
243,21,0
249,21,0
255,21,0
261,21,0
267,21,0
273,21,0
279,21,0
285,21,0
291,21,0
297,21,0
153,15,0
159,15,0
165,15,1
171,15,0
177,15,0
183,15,1
189,15,0
195,15,1
201,15,0
207,15,0
213,15,0
219,15,0
225,15,0
231,15,0
237,15,0
243,15,0
249,15,0
255,15,0
261,15,0
267,15,0
273,15,0
279,15,0
285,15,0
291,15,0
297,15,0
153,9,0
159,9,0
165,9,1
171,9,0
177,9,0
183,9,0
189,9,0
195,9,1
201,9,0
207,9,0
213,9,0
219,9,0
225,9,0
231,9,0
237,9,0
243,9,0
249,9,0
255,9,0
261,9,0
267,9,0
273,9,0
279,9,0
285,9,0
291,9,0
297,9,0
153,3,0
159,3,0
165,3,0
171,3,0
177,3,0
183,3,0
189,3,0
195,3,0
201,3,0
207,3,0
213,3,0
219,3,0
225,3,0
231,3,0
237,3,0
243,3,0
249,3,0
255,3,0
261,3,0
267,3,0
273,3,0
279,3,0
285,3,0
291,3,0
297,3,0
