extrap.type,rep,mod.type,beta1.mean,beta2.mean,beta1.median,beta2.median,beta1_25,beta1_975,beta2_25,beta2_975
Low,1,Integrated,0.05026155460511098,-0.08675769945371743,0.05060193215234608,-0.08638158990344302,-0.21363068934740304,0.3122706055341635,-0.300770835433699,0.1251325373334257
Low,1,PO,0.07524118324483649,-0.0909211075060093,0.07567863427788982,-0.09036102784326883,-0.18371391886075084,0.33177316077053576,-0.300479804167338,0.11547574425085552
Low,2,Integrated,0.04977735093507162,-0.09310597910512293,0.050190549833677746,-0.09265906705500669,-0.212698721196777,0.30994184229114463,-0.3063333651792149,0.11759399881136089
Low,2,PO,0.0748556268117414,-0.0907464244706264,0.07530879909105653,-0.09019427500307955,-0.18395069268906333,0.3311437908346017,-0.3001266219024196,0.11551777147012636
Low,3,Integrated,0.08687622171180784,-0.09439276423292506,0.08718781247886492,-0.09390904328665381,-0.1725950002508681,0.34459682168373834,-0.30570118615151565,0.11418346071199886
Low,3,PO,0.0750096011034452,-0.09099747628408092,0.07549898471947102,-0.09042791310479131,-0.18432469985116012,0.33162216358905794,-0.3007266044055225,0.11551515907354586
Low,4,Integrated,0.07706778630951357,-0.07818102203078778,0.07759561573537946,-0.07770132458053614,-0.18065237254323566,0.3318608338448943,-0.28384517762230493,0.12478121072461706
Low,4,PO,0.07444760899893269,-0.09098376463440018,0.07490362226692941,-0.090414944093006,-0.18468886325817768,0.33105265461721467,-0.30071061718926206,0.11553204058520022
Low,5,Integrated,0.05141522396927356,-0.10865760824073104,0.051716704344427156,-0.1081340719165404,-0.21066548873288476,0.3118131777516861,-0.3225240874869573,0.10225141928136715
Low,5,PO,0.07450429451868126,-0.09077250914364958,0.07497969601428384,-0.09021553878281208,-0.18468331902096607,0.33104617655034263,-0.30028456456821656,0.1155944347455312
Low,6,Integrated,0.15216006640065516,-0.07641967087476022,0.1526056439029804,-0.0761540228885958,-0.09760766628324047,0.3994519664662276,-0.27943222068200113,0.12509939085490346
Low,6,PO,0.07392990334069177,-0.09093555358755127,0.07437694009149277,-0.09037977651166855,-0.18501781293815117,0.33039695990051005,-0.3005423928749097,0.11553286628682025
Low,7,Integrated,0.03819792605295722,-0.06592354191218855,0.038560588469057536,-0.06552222784054963,-0.2221909500368799,0.29656242682311407,-0.27576002719051046,0.14164515181102932
Low,7,PO,0.07458184253917609,-0.0910232619891664,0.0750385258016646,-0.09046214826087938,-0.18441719690331482,0.3310431687969737,-0.3006994987751455,0.11548710886921772
Low,8,Integrated,0.03758565294902164,-0.0901063497460042,0.037926787532427404,-0.08962096417001775,-0.22236159522786,0.2956333001636982,-0.3003913081112071,0.11743515240593157
